"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","list_number"
50010,"occupations",13,"scientist",25.952,5.1,1,"LEA",2
50010,"occupations",14,"volunteer",29.752,3.8,1,"LEA",2
50010,"occupations",15,"manager",35.952,6.2,1,"LEA",2
50010,"occupations",16,"marketer",37.652,1.7,0,"LEA",2
50010,"occupations",17,"advertiser",38.952,1.3,0,"LEA",2
50010,"occupations",18,"salesperson",42.152,3.2,0,"LEA",2
50010,"occupations",19,"customer_service",46.552,4.4,0,"LEA",2
50010,"occupations",20,"trainer",51.352,4.8,1,"LEA",2
50010,"occupations",21,"tutor",54.152,2.8,0,"LEA",2
50010,"occupations",22,"owner",57.552,3.4,1,"LEA",2
50010,"occupations",23,"supervisor",63.852,6.3,1,"LEA",2
50010,"occupations",24,"risk_manager",66.052,2.20000000000001,1,"LEA",2
50010,"occupations",25,"assistant",75.052,9,1,"LEA",2
50010,"occupations",26,"mechanic",81.252,6.19999999999999,1,"LEA",2
50010,"occupations",27,"engineer",82.952,1.7,0,"LEA",2
50010,"occupations",28,"zookeeper",91.252,8.3,1,"LEA",2
50010,"occupations",29,"soldier",103.252,12,1,"LEA",2
50010,"occupations",30,"general",105.552,2.30000000000001,0,"LEA",2
50010,"occupations",31,"priest",109.952,4.39999999999999,1,"LEA",2
50010,"occupations",32,"real_estate_agent",119.352,9.40000000000001,1,"LEA",2
50010,"occupations",33,"agent",123.552,4.2,0,"LEA",2
50010,"occupations",34,"security",126.352,2.8,1,"LEA",2
50010,"occupations",35,"police_officer",128.352,2,0,"LEA",2
50010,"occupations",36,"front_desk",138.252,9.90000000000001,1,"LEA",2
50010,"occupations",37,"valet",142.652,4.39999999999998,1,"LEA",2
50010,"occupations",38,"chef",150.752,8.10000000000002,1,"LEA",2
50010,"occupations",39,"sous_chef",152.352,1.59999999999999,0,"LEA",2
50010,"occupations",40,"waiter",156.052,3.69999999999999,0,"LEA",2
50010,"occupations",41,"waitress",156.652,0.599999999999994,0,"LEA",2
50010,"occupations",42,"host",164.152,7.5,1,"LEA",2
50010,"occupations",43,"busboy",168.052,3.90000000000001,1,"LEA",2
50010,"occupations",44,"cleaning_lady",176.052,8,0,"LEA",2
50012,"occupations",1,"dog_walker",2.94,2.94,2,"LEA",2
50012,"occupations",2,"sales_manager",5.04,2.1,1,"LEA",2
50012,"occupations",3,"physical_therapist",6.74,1.7,1,"LEA",2
50012,"occupations",4,"nurse",8.74,2,0,"LEA",2
50012,"occupations",5,"doctor",10.04,1.3,0,"LEA",2
50012,"occupations",6,"anesthesiologist",11.64,1.6,0,"LEA",2
50012,"occupations",7,"event_manager",19.34,7.7,1,"LEA",2
50012,"occupations",8,"nurse_anesthetist",22.84,3.5,1,"LEA",2
50012,"occupations",9,"photographer",26.14,3.3,1,"LEA",2
50012,"occupations",10,"painter",28.24,2.1,0,"LEA",2
50012,"occupations",11,"dancer",30.44,2.2,0,"LEA",2
50012,"occupations",12,"fitness_educator",34.34,3.9,1,"LEA",2
50012,"occupations",13,"architect",38.44,4.09999999999999,1,"LEA",2
50012,"occupations",14,"engineer",40.04,1.6,0,"LEA",2
50012,"occupations",15,"swim_coach",42.74,2.7,1,"LEA",2
50012,"occupations",16,"basketball_coach",44.94,2.2,0,"LEA",2
50012,"occupations",17,"football_coach",47.24,2.3,0,"LEA",2
50012,"occupations",18,"gymnast",50.04,2.8,0,"LEA",2
50012,"occupations",19,"journalist",57.54,7.5,1,"LEA",2
50012,"occupations",20,"writer",59.34,1.8,0,"LEA",2
50012,"occupations",21,"editor",61.04,1.7,0,"LEA",2
50012,"occupations",22,"designer",73.14,12.1,0,"LEA",2
50012,"occupations",23,"landscaper",75.34,2.2,0,"LEA",2
50012,"occupations",24,"data_analyst",80.64,5.3,1,"LEA",2
50012,"occupations",25,"psychologist",83.04,2.40000000000001,1,"LEA",2
50012,"occupations",26,"counselor",85.34,2.3,0,"LEA",2
50012,"occupations",27,"professor",89.14,3.8,0,"LEA",2
50012,"occupations",28,"teacher",91.74,2.59999999999999,0,"LEA",2
50012,"occupations",29,"real_estate_agent",111.94,20.2,1,"LEA",2
50012,"occupations",30,"occupational_therapist",126.24,14.3,1,"LEA",2
50012,"occupations",31,"recreational_therapist",128.64,2.39999999999999,0,"LEA",2
50012,"occupations",32,"paramedic",134.44,5.80000000000001,0,"LEA",2
50012,"occupations",33,"dance_instructor",160.14,25.7,1,"LEA",2
50012,"occupations",34,"financial_analyst",166.64,6.5,1,"LEA",2
50013,"occupations",1,"farmer",4.32,4.32,2,"LEA",2
50013,"occupations",2,"musician",6.92,2.6,1,"LEA",2
50013,"occupations",3,"IT_manager",14.02,7.1,1,"LEA",2
50013,"occupations",4,"program_manager",17.32,3.3,0,"LEA",2
50013,"occupations",5,"math_teacher",20.62,3.3,1,"LEA",2
50013,"occupations",6,"principal",23.82,3.2,0,"LEA",2
50013,"occupations",7,"dean",27.02,3.2,0,"LEA",2
50013,"occupations",8,"jazz_band_arranger",31.42,4.4,1,"LEA",2
50013,"occupations",9,"composer",35.62,4.2,0,"LEA",2
50013,"occupations",10,"trombone_player",39.82,4.2,0,"LEA",2
50013,"occupations",11,"flute_player",43.92,4.1,0,"LEA",2
50013,"occupations",12,"conductor",47.52,3.6,0,"LEA",2
50013,"occupations",13,"animal_rights_activist",51.92,4.4,1,"LEA",2
50013,"occupations",14,"leader_of_an_organization",59.92,8,0,"LEA",2
50013,"occupations",15,"religious_or_spiritual_leader",65.92,6,1,"LEA",2
50013,"occupations",16,"rabbi",71.52,5.59999999999999,0,"LEA",2
50013,"occupations",17,"priest",74.42,2.90000000000001,0,"LEA",2
50013,"occupations",18,"minister",77.52,3.09999999999999,0,"LEA",2
50013,"occupations",19,"social_studies_teacher",83.42,5.90000000000001,1,"LEA",2
50013,"occupations",20,"dog_walker",90.12,6.7,1,"LEA",2
50013,"occupations",21,"language_arts_teacher",94.52,4.39999999999999,1,"LEA",2
50013,"occupations",22,"therapist",100.42,5.90000000000001,1,"LEA",2
50013,"occupations",23,"psychiatrist",103.72,3.3,0,"LEA",2
50013,"occupations",24,"psychologist",108.12,4.40000000000001,0,"LEA",2
50013,"occupations",25,"lawn_mower",113.82,5.69999999999999,1,"LEA",2
50013,"occupations",26,"landlord",121.72,7.90000000000001,0,"LEA",2
50013,"occupations",27,"housekeeper",125.42,3.7,0,"LEA",2
50013,"occupations",28,"agent",133.52,8.10000000000001,1,"LEA",2
50013,"occupations",29,"manager",138.42,4.89999999999998,0,"LEA",2
50013,"occupations",30,"baseball_player",144.22,5.80000000000001,1,"LEA",2
50013,"occupations",31,"athlete",149.82,5.59999999999999,0,"LEA",2
50013,"occupations",32,"figure_skater",153.72,3.90000000000001,0,"LEA",2
50013,"occupations",33,"basketball_player",161.52,7.80000000000001,0,"LEA",2
50013,"occupations",34,"psychic",177.12,15.6,1,"LEA",2
50014,"occupations",1,"researcher",4.273,4.273,2,"LEA",2
50014,"occupations",2,"scientist",4.973,0.7,0,"LEA",2
50014,"occupations",3,"teacher",5.973,1,0,"LEA",2
50014,"occupations",4,"professor",7.773,1.8,0,"LEA",2
50014,"occupations",5,"technician",10.173,2.4,0,"LEA",2
50014,"occupations",6,"librarian",14.973,4.8,1,"LEA",2
50014,"occupations",7,"shop_owner",17.173,2.2,0,"LEA",2
50014,"occupations",8,"shopkeeper",18.573,1.4,0,"LEA",2
50014,"occupations",9,"manager",22.873,4.3,0,"LEA",2
50014,"occupations",10,"construction_worker",31.473,8.6,1,"LEA",2
50014,"occupations",11,"architect",33.373,1.9,0,"LEA",2
50014,"occupations",12,"foreman",37.273,3.90000000000001,0,"LEA",2
50014,"occupations",13,"police_officer",40.673,3.4,1,"LEA",2
50014,"occupations",14,"firefighter",42.373,1.7,0,"LEA",2
50014,"occupations",15,"traffic_cop",57.173,14.8,0,"LEA",2
50014,"occupations",16,"sheriff",60.473,3.3,0,"LEA",2
50014,"occupations",17,"president",63.473,3,1,"LEA",2
50014,"occupations",18,"senator",64.873,1.40000000000001,0,"LEA",2
50014,"occupations",19,"member_of_the_house",69.173,4.3,0,"LEA",2
50014,"occupations",20,"representative",72.573,3.39999999999999,0,"LEA",2
50014,"occupations",21,"member_of_the_cabinet",76.773,4.2,0,"LEA",2
50014,"occupations",22,"journalist",79.973,3.2,1,"LEA",2
50014,"occupations",23,"writer",83.273,3.3,0,"LEA",2
50014,"occupations",24,"blogger",85.773,2.5,0,"LEA",2
50014,"occupations",25,"actor",93.073,7.3,1,"LEA",2
50014,"occupations",26,"actress",94.273,1.2,0,"LEA",2
50014,"occupations",27,"director",96.173,1.90000000000001,0,"LEA",2
50014,"occupations",28,"producer",96.973,0.799999999999997,0,"LEA",2
50014,"occupations",29,"accountant",101.173,4.2,1,"LEA",2
50014,"occupations",30,"auditor",102.373,1.2,0,"LEA",2
50014,"occupations",31,"cheese_maker",104.773,2.39999999999999,1,"LEA",2
50014,"occupations",32,"farmer",105.873,1.10000000000001,0,"LEA",2
50014,"occupations",33,"tax_preparer",113.073,7.19999999999999,1,"LEA",2
50014,"occupations",34,"secretary",120.473,7.40000000000001,0,"LEA",2
50014,"occupations",35,"CEO",125.173,4.7,0,"LEA",2
50014,"occupations",36,"CFO",126.073,0.899999999999991,0,"LEA",2
50014,"occupations",37,"consultant",129.373,3.3,0,"LEA",2
50014,"occupations",38,"chef",136.573,7.20000000000002,1,"LEA",2
50014,"occupations",39,"waitress",137.973,1.40000000000001,0,"LEA",2
50014,"occupations",40,"hostess",138.773,0.799999999999983,0,"LEA",2
50014,"occupations",41,"busboy",140.673,1.90000000000001,0,"LEA",2
50014,"occupations",42,"bartender",142.073,1.40000000000001,0,"LEA",2
50014,"occupations",43,"bar_back",144.073,2,0,"LEA",2
50014,"occupations",44,"dancer",146.373,2.29999999999998,1,"LEA",2
50014,"occupations",45,"musician",147.873,1.5,0,"LEA",2
50014,"occupations",46,"piano_player",150.373,2.5,0,"LEA",2
50014,"occupations",47,"jazz_musician",152.773,2.40000000000001,0,"LEA",2
50014,"occupations",48,"rock_musician",153.873,1.09999999999999,0,"LEA",2
50014,"occupations",49,"singer",155.873,2,0,"LEA",2
50014,"occupations",50,"roadie",159.273,3.40000000000001,0,"LEA",2
50014,"occupations",51,"actor",164.673,5.40000000000001,0,"LEA",2
50014,"occupations",52,"theater_actor",166.273,1.59999999999999,0,"LEA",2
50014,"occupations",53,"theater_manager",170.773,4.5,0,"LEA",2
50014,"occupations",54,"usher",173.473,2.70000000000002,0,"LEA",2
50014,"occupations",55,"security",177.873,4.39999999999998,0,"LEA",2
50016,"occupations",1,"doctor",3.381,3.381,2,"LEA",2
50016,"occupations",2,"lawyer",4.981,1.6,1,"LEA",2
50016,"occupations",3,"physical_therapist",7.181,2.2,1,"LEA",2
50016,"occupations",4,"professional_athlete",9.481,2.3,0,"LEA",2
50016,"occupations",5,"teacher",11.781,2.3,1,"LEA",2
50016,"occupations",6,"taxi_driver",16.881,5.1,1,"LEA",2
50016,"occupations",7,"truck_driver",19.781,2.9,0,"LEA",2
50016,"occupations",8,"garbage_man",23.681,3.9,1,"LEA",2
50016,"occupations",9,"postal_worker",27.281,3.6,0,"LEA",2
50016,"occupations",10,"priest",31.281,4,1,"LEA",2
50016,"occupations",11,"volunteer",36.181,4.9,0,"LEA",2
50016,"occupations",12,"president",45.081,8.90000000000001,1,"LEA",2
50016,"occupations",13,"government_official",47.581,2.5,0,"LEA",2
50016,"occupations",14,"mayor",49.881,2.3,0,"LEA",2
50016,"occupations",15,"secretary",52.581,2.7,1,"LEA",2
50016,"occupations",16,"chief_executive_officer",55.881,3.3,1,"LEA",2
50016,"occupations",17,"accountant",59.381,3.5,0,"LEA",2
50016,"occupations",18,"chef",62.081,2.7,1,"LEA",2
50016,"occupations",19,"supervisor",67.981,5.89999999999999,1,"LEA",2
50016,"occupations",20,"yoga_instructor",72.881,4.90000000000001,1,"LEA",2
50016,"occupations",21,"nurse",78.781,5.90000000000001,1,"LEA",2
50016,"occupations",22,"pharmacist",80.681,1.89999999999999,0,"LEA",2
50016,"occupations",23,"delivery_driver",86.381,5.7,1,"LEA",2
50016,"occupations",24,"receptionist",98.381,12,1,"LEA",2
50016,"occupations",25,"janitor",100.781,2.40000000000001,1,"LEA",2
50016,"occupations",26,"undertaker",103.481,2.69999999999999,1,"LEA",2
50016,"occupations",27,"telemarketer",113.381,9.90000000000001,1,"LEA",2
50016,"occupations",28,"movie_star",118.681,5.3,1,"LEA",2
50016,"occupations",29,"musician",120.581,1.90000000000001,0,"LEA",2
50016,"occupations",30,"artist",126.581,6,0,"LEA",2
50016,"occupations",31,"mathematician",130.181,3.60000000000001,1,"LEA",2
50016,"occupations",32,"commissioner_of_the_NBA",144.381,14.2,1,"LEA",2
50016,"occupations",33,"sports_agent",148.881,4.5,0,"LEA",2
50016,"occupations",34,"fireman",160.181,11.3,1,"LEA",2
50016,"occupations",35,"policeman",161.881,1.69999999999999,0,"LEA",2
50016,"occupations",36,"social_worker",166.181,4.30000000000001,1,"LEA",2
50016,"occupations",37,"coach",171.681,5.5,1,"LEA",2
50016,"occupations",38,"therapist",176.781,5.09999999999999,1,"LEA",2
50017,"occupations",1,"scientist",4.287,4.287,2,"LEA",2
50017,"occupations",2,"doctor",6.287,2,0,"LEA",2
50017,"occupations",3,"teacher",8.187,1.9,0,"LEA",2
50017,"occupations",4,"athlete",9.987,1.8,0,"LEA",2
50017,"occupations",5,"astronomer",16.287,6.3,0,"LEA",2
50017,"occupations",6,"astronaut",18.887,2.6,0,"LEA",2
50017,"occupations",7,"welder",25.287,6.4,1,"LEA",2
50017,"occupations",8,"construction_worker",29.687,4.4,0,"LEA",2
50017,"occupations",9,"blogger",32.587,2.9,0,"LEA",2
50017,"occupations",10,"musician",33.687,1.09999999999999,1,"LEA",2
50017,"occupations",11,"therapist",38.087,4.40000000000001,1,"LEA",2
50017,"occupations",12,"psychiatrist",41.087,3,0,"LEA",2
50017,"occupations",13,"nurse",43.087,2,0,"LEA",2
50017,"occupations",14,"student",46.987,3.9,1,"LEA",2
50017,"occupations",15,"nanny",55.487,8.5,1,"LEA",2
50017,"occupations",16,"president",58.787,3.3,1,"LEA",2
50017,"occupations",17,"king",60.187,1.4,0,"LEA",2
50017,"occupations",18,"clerk",67.187,7,1,"LEA",2
50017,"occupations",19,"librarian",68.887,1.7,0,"LEA",2
50017,"occupations",20,"paleontologist",70.887,2,1,"LEA",2
50017,"occupations",21,"radiologist",75.987,5.09999999999999,0,"LEA",2
50017,"occupations",22,"respiratory_therapist",78.487,2.5,0,"LEA",2
50017,"occupations",23,"fisherman",83.287,4.80000000000001,1,"LEA",2
50017,"occupations",24,"hunter",85.787,2.5,0,"LEA",2
50017,"occupations",25,"singer",91.587,5.8,1,"LEA",2
50017,"occupations",26,"painter",93.487,1.89999999999999,1,"LEA",2
50017,"occupations",27,"trapeze_artist",99.487,6,1,"LEA",2
50017,"occupations",28,"comedian",103.587,4.10000000000001,1,"LEA",2
50017,"occupations",29,"public_speaker",107.187,3.59999999999999,0,"LEA",2
50017,"occupations",30,"event_planner",111.987,4.8,0,"LEA",2
50017,"occupations",31,"truck_driver",118.787,6.80000000000001,1,"LEA",2
50017,"occupations",32,"mathematician",127.587,8.8,1,"LEA",2
50017,"occupations",33,"entomologist",137.387,9.8,0,"LEA",2
50017,"occupations",34,"writer",143.087,5.69999999999999,1,"LEA",2
50017,"occupations",35,"vagabond",149.287,6.20000000000002,1,"LEA",2
50017,"occupations",36,"cashier",161.187,11.9,1,"LEA",2
50017,"occupations",37,"waiter",163.587,2.39999999999998,0,"LEA",2
50017,"occupations",38,"cook",167.387,3.80000000000001,0,"LEA",2
50017,"occupations",39,"brewer",172.987,5.59999999999999,1,"LEA",2
50017,"occupations",40,"sommelier",176.187,3.20000000000002,0,"LEA",2
50019,"occupations",1,"firefighter",4.012,4.012,2,"LEA",2
50019,"occupations",2,"police_officer",5.012,1,0,"LEA",2
50019,"occupations",3,"teacher",6.612,1.6,0,"LEA",2
50019,"occupations",4,"principal",7.412,0.8,0,"LEA",2
50019,"occupations",5,"secretary",8.112,0.7,0,"LEA",2
50019,"occupations",6,"nurse",9.812,1.7,0,"LEA",2
50019,"occupations",7,"counselor",10.512,0.700000000000001,0,"LEA",2
50019,"occupations",8,"school_bus_driver",13.712,3.2,0,"LEA",2
50019,"occupations",9,"trash_collector",16.012,2.3,1,"LEA",2
50019,"occupations",10,"artist",19.912,3.9,1,"LEA",2
50019,"occupations",11,"doula",22.612,2.7,0,"LEA",2
50019,"occupations",12,"preacher",32.512,9.9,1,"LEA",2
50019,"occupations",13,"farmer",34.512,2,1,"LEA",2
50019,"occupations",14,"massage_therapist",39.412,4.9,1,"LEA",2
50019,"occupations",15,"physical_therapist",44.112,4.7,0,"LEA",2
50019,"occupations",16,"occupational_therapist",45.212,1.1,0,"LEA",2
50019,"occupations",17,"consultant",54.812,9.59999999999999,1,"LEA",2
50019,"occupations",18,"director",61.312,6.5,0,"LEA",2
50019,"occupations",19,"representative",72.512,11.2,1,"LEA",2
50019,"occupations",20,"senator",76.612,4.09999999999999,0,"LEA",2
50019,"occupations",21,"pharmacist",82.012,5.40000000000001,1,"LEA",2
50019,"occupations",22,"cashier",84.112,2.09999999999999,0,"LEA",2
50019,"occupations",23,"bartender",86.012,1.90000000000001,1,"LEA",2
50019,"occupations",24,"server",87.112,1.09999999999999,0,"LEA",2
50019,"occupations",25,"hostess",88.412,1.30000000000001,0,"LEA",2
50019,"occupations",26,"receptionist",91.912,3.5,0,"LEA",2
50019,"occupations",27,"chef",95.512,3.59999999999999,1,"LEA",2
50019,"occupations",28,"house_cleaner",100.712,5.2,0,"LEA",2
50019,"occupations",29,"security_officer",109.112,8.39999999999999,1,"LEA",2
50019,"occupations",30,"life_guard",125.012,15.9,1,"LEA",2
50019,"occupations",31,"coach",132.012,7,0,"LEA",2
50019,"occupations",32,"personal_trainer",132.912,0.900000000000006,0,"LEA",2
50019,"occupations",33,"maintenance_person",137.512,4.59999999999999,1,"LEA",2
50019,"occupations",34,"IT_help_desk",140.912,3.40000000000001,1,"LEA",2
50019,"occupations",35,"software_developer",144.812,3.90000000000001,0,"LEA",2
50019,"occupations",36,"marketing_person",149.012,4.19999999999999,0,"LEA",2
50019,"occupations",37,"social_media_specialist",154.112,5.09999999999999,0,"LEA",2
50019,"occupations",38,"sex_worker",159.412,5.30000000000001,1,"LEA",2
50019,"occupations",39,"landscaper",162.812,3.40000000000001,1,"LEA",2
50019,"occupations",40,"mover",172.312,9.5,0,"LEA",2
50019,"occupations",41,"truck_driver",174.812,2.5,0,"LEA",2
50019,"occupations",42,"train_conductor",177.012,2.19999999999999,0,"LEA",2
50020,"occupations",1,"firefighter",4.421,4.421,2,"LEA",2
50020,"occupations",2,"policeman",5.821,1.4,0,"LEA",2
50020,"occupations",3,"doctor",7.321,1.5,1,"LEA",2
50020,"occupations",4,"lawyer",9.021,1.7,0,"LEA",2
50020,"occupations",5,"accountant",11.221,2.2,0,"LEA",2
50020,"occupations",6,"photographer",12.921,1.7,1,"LEA",2
50020,"occupations",7,"director",14.621,1.7,0,"LEA",2
50020,"occupations",8,"garbage_man",16.821,2.2,1,"LEA",2
50020,"occupations",9,"office_worker",20.821,4,1,"LEA",2
50020,"occupations",10,"retail_worker",22.521,1.7,0,"LEA",2
50020,"occupations",11,"manager",24.421,1.9,1,"LEA",2
50020,"occupations",12,"gas_station_clerk",26.621,2.2,1,"LEA",2
